"TransactionID";"ProductID";"CustomerID";"Date";"OrderTotal"
10195;9256;2088;2018-08-17;86
10756;9257;2088;2018-07-25;63
10309;9258;2088;2018-07-18;119
10430;9257;2088;2018-06-13;181
10645;9252;2088;2017-11-06;101
10255;9258;2088;2018-06-08;119
10330;9258;2088;2018-03-30;122
10527;9259;2088;2018-06-01;182
10848;9256;2088;2018-03-12;90
10469;9254;1654;2017-12-06;77
10102;9260;1654;2018-04-01;56
10039;9258;1654;2018-02-04;180
10685;9250;1654;2018-07-06;86
10910;9259;1654;2018-02-28;175
10177;9260;1654;2017-11-23;93
10714;9258;1654;2018-09-03;199
10268;9255;1654;2018-04-22;127
10497;9259;1654;2017-11-29;53
10806;9257;1654;2018-08-22;179
10689;9258;1771;2017-11-12;101
10593;9259;1771;2018-03-18;52
10249;9259;1771;2018-05-06;158
10698;9252;1771;2018-01-20;66
10916;9255;1771;2017-10-22;97
10837;9253;1771;2018-06-06;188
10458;9254;1771;2017-10-08;188
10492;9258;1771;2018-06-05;60
10097;9257;1771;2018-08-10;156
10693;9250;1771;2018-07-30;47
10695;9250;1771;2018-03-01;79
10488;9260;1180;2017-09-21;69
10353;9251;1180;2018-06-08;86
10622;9255;1180;2018-08-02;112
10246;9258;1180;2018-03-09;196
10054;9254;1180;2018-01-01;61
10486;9258;1180;2018-04-02;131
10225;9250;1180;2017-09-11;162
10338;9260;1180;2018-01-21;192
10190;9260;1180;2018-02-26;191
10204;9254;1180;2018-06-26;52
10844;9258;1180;2017-09-14;181
10402;9258;1180;2018-08-21;136
10634;9258;1180;2017-11-11;110
10225;9250;1874;2017-09-11;162
10118;9253;1874;2018-04-17;135
10289;9251;1874;2017-12-01;150
10964;9254;1874;2018-05-19;150
10855;9257;1874;2018-08-28;69
10232;9253;1874;2017-09-26;147
10427;9260;1874;2018-03-24;72
10547;9254;1874;2017-12-29;150
10166;9260;1874;2018-08-03;195
10091;9250;1874;2018-02-28;107
10714;9258;1874;2018-09-03;199
10298;9253;1874;2017-12-13;162
10725;9259;1874;2018-01-14;182
10169;9257;1561;2018-08-30;143
10979;9257;1561;2018-05-16;121
10521;9255;1561;2018-08-03;66
10067;9259;1561;2018-04-24;52
10834;9255;1561;2018-06-15;199
10542;9260;1561;2017-10-09;126
10639;9255;1561;2018-06-29;58
10247;9253;1561;2017-11-24;52
10319;9251;1561;2018-06-09;100
10070;9257;2033;2018-03-18;119
10237;9253;2033;2018-04-28;177
10183;9260;2033;2018-09-05;132
10916;9255;2033;2017-10-22;97
10685;9250;2033;2018-07-06;86
10915;9253;2033;2018-01-03;98
10298;9253;2033;2017-12-13;162
10224;9253;2033;2018-05-08;199
10628;9253;2033;2018-03-08;167
10868;9252;2033;2018-04-11;167
10291;9256;2033;2018-03-05;50
10612;9257;2033;2018-02-15;159
10830;9258;2033;2017-12-07;144
10895;9252;2033;2018-03-25;79
10118;9253;2033;2018-04-17;135
10639;9255;1501;2018-06-29;58
10329;9257;1501;2017-10-14;120
10583;9256;1501;2018-05-18;57
10095;9258;1501;2017-11-17;126
10032;9260;1501;2018-06-05;105
10888;9252;1501;2018-04-06;67
10115;9250;1501;2017-12-07;180
10135;9260;1501;2018-07-09;172
10995;9256;1501;2018-06-08;117
